node_id,stop_id,route_id,stop_lat,stop_lon,cluster_id,mode
403,6105,302,43.407591,-80.32816,181,bus
404,6107,302,43.4099205,-80.39298166666667,306,bus
405,6024,302,43.42224922222223,-80.44161911111112,1014,bus
406,6017,302,43.4099205,-80.39298166666667,306,bus
407,6019,302,43.407591,-80.32816,181,bus
408,6020,302,43.392727666666666,-80.32265616666666,36,bus
409,6021,302,43.385258,-80.321058,1254,bus
410,6022,302,43.373740999999995,-80.3189045,330,bus
411,4186,65,43.4053775,-80.28052600000001,990,bus
412,4187,65,43.401995,-80.275641,1226,bus
413,4188,65,43.400086,-80.27481,1227,bus
414,4189,65,43.3949645,-80.2751475,989,bus
415,4190,65,43.393545,-80.277828,202,bus
416,4191,65,43.3921075,-80.27999349999999,1182,bus
417,4192,65,43.3901915,-80.282844,201,bus
418,1371,65,43.389558666666666,-80.285528,200,bus
419,1372,65,43.389951499999995,-80.2886295,199,bus
420,1373,65,43.390294499999996,-80.2924405,198,bus
421,1374,65,43.38965033333333,-80.29650366666667,197,bus
422,1356,65,43.391485,-80.3002915,205,bus
423,1357,65,43.394043,-80.30342333333333,206,bus
424,4093,65,43.392915,-80.308979,1195,bus
425,1279,65,43.390778499999996,-80.312206,154,bus
426,1318,65,43.3925665,-80.315301,97,bus
427,1319,65,43.3946875,-80.31668400000001,178,bus
428,4146,65,43.396223,-80.31768833333334,152,bus
429,1320,65,43.395942,-80.32085,179,bus
430,1063,65,43.392727666666666,-80.32265616666666,36,bus
431,4147,65,43.39541833333334,-80.32388266666668,274,bus
432,1275,65,43.396223,-80.31768833333334,152,bus
433,3845,65,43.3946875,-80.31668400000001,178,bus
434,1170,65,43.3925665,-80.315301,97,bus
435,1280,65,43.390778499999996,-80.312206,154,bus
436,4212,65,43.394043,-80.30342333333333,206,bus
437,4170,65,43.391485,-80.3002915,205,bus
438,1345,65,43.38965033333333,-80.29650366666667,197,bus
439,1346,65,43.390294499999996,-80.2924405,198,bus
440,1347,65,43.389951499999995,-80.2886295,199,bus
441,1348,65,43.389558666666666,-80.285528,200,bus
442,1349,65,43.3901915,-80.282844,201,bus
443,4041,65,43.3921075,-80.27999349999999,1182,bus
444,1350,65,43.393545,-80.277828,202,bus
445,3394,65,43.3949645,-80.2751475,989,bus
446,3396,65,43.4053775,-80.28052600000001,990,bus
447,3397,65,43.404148,-80.284511,991,bus
448,4184,65,43.405663,-80.286031,1224,bus
449,4185,65,43.406971,-80.280859,1225,bus
450,1127,201,43.498175999999994,-80.5290369090909,65,bus
451,2505,201,43.4914545,-80.52826250000001,468,bus
452,2508,201,43.485269,-80.52688599999999,466,bus
453,4072,201,43.482004200000006,-80.52639020000001,465,bus
454,2512,201,43.47978475,-80.53137075000001,98,bus
455,3889,201,43.476665,-80.5402845,42,bus
456,1260,201,43.474043,-80.541208,144,bus
457,2531,201,43.4748225,-80.546866,745,bus
458,1099,201,43.4693505,-80.5614395,47,bus
459,3445,201,43.467198,-80.56596,1004,bus
460,3162,201,43.4581235,-80.55756575,929,bus
461,3590,201,43.45264525,-80.55362275,513,bus
462,3165,201,43.448628,-80.5501745,529,bus
463,3167,201,43.443533,-80.5447,932,bus
464,3169,201,43.439363,-80.53551300000001,920,bus
465,3170,201,43.436446000000004,-80.52908649999999,917,bus
466,3892,201,43.431493249999995,-80.5257075,381,bus
467,2981,201,43.42846525,-80.5237735,886,bus
468,2983,201,43.4234965,-80.51906149999999,885,bus
469,2985,201,43.41644366666667,-80.51114533333333,884,bus
470,3894,201,43.4132565,-80.5084655,563,bus
471,2065,201,43.406060999999994,-80.4991315,562,bus
472,3004,201,43.41145725,-80.4993945,559,bus
473,2881,201,43.412637000000004,-80.4918385,855,bus
474,1973,201,43.41587175000001,-80.479862,514,bus
475,1028,201,43.417747,-80.47351,17,bus
476,2024,201,43.418884500000004,-80.4667375,21,bus
477,1458,201,43.42232166666667,-80.46249566666667,262,bus
478,1857,201,43.418279,-80.453084,429,bus
479,1860,201,43.413318000000004,-80.4493605,431,bus
480,1703,201,43.4072235,-80.44869750000001,373,bus
481,1859,201,43.399226,-80.445362,430,bus
482,2052,201,43.39535775,-80.4315865,383,bus
483,3641,201,43.387951,-80.4115035,392,bus
484,1732,201,43.3903385,-80.403539,394,bus
485,1728,201,43.387951,-80.4115035,392,bus
486,2053,201,43.39535775,-80.4315865,383,bus
487,1756,201,43.399647,-80.447027,396,bus
488,1758,201,43.4072235,-80.44869750000001,373,bus
489,2055,201,43.412149,-80.449223,558,bus
490,2054,201,43.41933,-80.4542,557,bus
491,2351,201,43.42232166666667,-80.46249566666667,262,bus
492,1033,201,43.418884500000004,-80.4667375,21,bus
493,2086,201,43.417747,-80.47351,17,bus
494,2885,201,43.41587175000001,-80.479862,514,bus
495,2888,201,43.412637000000004,-80.4918385,855,bus
496,3189,201,43.41145725,-80.4993945,559,bus
497,3895,201,43.406726,-80.500095,1143,bus
498,3893,201,43.41423,-80.508537,1142,bus
499,2969,201,43.41644366666667,-80.51114533333333,884,bus
500,2971,201,43.4234965,-80.51906149999999,885,bus
501,2986,201,43.42846525,-80.5237735,886,bus
502,3891,201,43.431493249999995,-80.5257075,381,bus
503,3143,201,43.436446000000004,-80.52908649999999,917,bus
504,3144,201,43.439363,-80.53551300000001,920,bus
505,3146,201,43.4441075,-80.54561799999999,922,bus
506,1992,201,43.448628,-80.5501745,529,bus
507,1972,201,43.45264525,-80.55362275,513,bus
508,3465,201,43.4581235,-80.55756575,929,bus
509,3890,201,43.46776366666666,-80.56548733333334,62,bus
510,1117,201,43.4693505,-80.5614395,47,bus
511,3899,201,43.474204,-80.54641749999999,743,bus
512,1223,201,43.474287000000004,-80.54013074999999,38,bus
513,3887,201,43.476417,-80.539403,1140,bus
514,2524,201,43.47978475,-80.53137075000001,98,bus
515,4073,201,43.482004200000006,-80.52639020000001,465,bus
516,1916,201,43.485269,-80.52688599999999,466,bus
517,1918,201,43.4914545,-80.52826250000001,468,bus
518,1065,60,43.392727666666666,-80.32265616666666,36,bus
519,4182,60,43.39090899999999,-80.31793400000001,1223,bus
520,4183,60,43.391363999999996,-80.31460150000001,207,bus
521,1280,60,43.390778499999996,-80.312206,154,bus
522,4212,60,43.394043,-80.30342333333333,206,bus
523,4170,60,43.391485,-80.3002915,205,bus
524,4171,60,43.38965033333333,-80.29650366666667,197,bus
525,1367,60,43.387134,-80.295391,209,bus
526,1368,60,43.384184,-80.294487,210,bus
527,1369,60,43.383333,-80.292287,211,bus
528,1355,60,43.384794,-80.290574,204,bus
529,1370,60,43.386978,-80.287451,212,bus
530,4172,60,43.389558666666666,-80.285528,200,bus
531,4173,60,43.392474,-80.286298,1220,bus
532,4175,60,43.397161,-80.290732,1221,bus
533,4235,60,43.396131,-80.293446,1248,bus
534,1354,60,43.394522,-80.29454,203,bus
535,1356,60,43.391485,-80.3002915,205,bus
536,1357,60,43.394043,-80.30342333333333,206,bus
537,4093,60,43.392915,-80.308979,1195,bus
538,1279,60,43.390778499999996,-80.312206,154,bus
539,1358,60,43.391363999999996,-80.31460150000001,207,bus
540,4208,60,43.39090899999999,-80.31793400000001,1223,bus
541,1516,58,43.35736175,-80.31318933333334,296,bus
542,1605,58,43.359091,-80.310891,327,bus
543,1606,58,43.362115,-80.3096,328,bus
544,1608,58,43.365415750000004,-80.30577600000001,326,bus
