geometry_id,geometry
19,"LINESTRING (548495.7766000004 4816054.878799999, 548728.4128 4816170.9823, 549038.6545000002 4816320.002, 549057.1772999996 4816328.9065000005, 549243.5307 4816418.491900001)"
20,"LINESTRING (550061.8894999996 4816812.4518, 550339.1890000002 4816953.4131000005)"
21,"LINESTRING (550061.8894999996 4816812.4518, 550339.1890000002 4816953.4131000005)"
22,"LINESTRING (550914.3167000003 4817246.1622, 551497.0539999995 4817541.553300001, 551651.4822000004 4817615.008400001, 552148.4839000003 4817853.8598, 552176.1569999997 4817866.597200001, 552211.8614999996 4817883.7436999995, 552357.1945000002 4817953.9694)"
23,"LINESTRING (550914.3167000003 4817246.1622, 551497.0539999995 4817541.553300001, 551651.4822000004 4817615.008400001, 552148.4839000003 4817853.8598, 552176.1569999997 4817866.597200001, 552211.8614999996 4817883.7436999995, 552357.1945000002 4817953.9694)"
24,"LINESTRING (556198.07 4813463.079, 556200.2079999996 4813507.1643, 556201.0016999999 4813519.705600001, 556207.6693000002 4813543.676899999, 556223.8618000001 4813573.6807, 556224.338 4813580.983)"
25,"LINESTRING (547450.1832999997 4815510.0569, 547493.5059000002 4815547.441199999, 547500.5077 4815553.458000001, 547533.0621999996 4815578.8429000005, 547576.6744999997 4815607.1271, 547635.6322999997 4815638.2808, 547682.2873 4815660.8061999995, 547761.8514 4815698.1886, 547816.9666999998 4815724.553200001, 547887.3691999996 4815758.539999999, 547940.5392000005 4815783.7733, 548081.8002000004 4815852.0381000005, 548116.0290000001 4815868.5221, 548330.3035000004 4815971.7129, 548495.7766000004 4816054.878799999)"
26,"LINESTRING (547450.1832999997 4815510.0569, 547493.5059000002 4815547.441199999, 547500.5077 4815553.458000001, 547533.0621999996 4815578.8429000005, 547576.6744999997 4815607.1271, 547635.6322999997 4815638.2808, 547682.2873 4815660.8061999995, 547761.8514 4815698.1886, 547816.9666999998 4815724.553200001, 547887.3691999996 4815758.539999999, 547940.5392000005 4815783.7733, 548081.8002000004 4815852.0381000005, 548116.0290000001 4815868.5221, 548330.3035000004 4815971.7129, 548495.7766000004 4816054.878799999)"
27,"LINESTRING (555826.0804000003 4793769.234099999, 555845.5658999998 4793709.9142)"
28,"LINESTRING (555826.0804000003 4793769.234099999, 555845.5658999998 4793709.9142)"
29,"LINESTRING (555990.7505000001 4794992.453199999, 555963.0609999998 4794867.2086, 555928.8985000001 4794716.579299999, 555894.1752000004 4794565.460100001, 555882.2352 4794513.3007, 555851.3214999996 4794380.377699999)"
30,"LINESTRING (555990.7505000001 4794992.453199999, 555963.0609999998 4794867.2086, 555928.8985000001 4794716.579299999, 555894.1752000004 4794565.460100001, 555882.2352 4794513.3007, 555851.3214999996 4794380.377699999)"
31,"LINESTRING (555788.2172999997 4794105.3672, 555779.9455000004 4794068.691199999, 555776.9193000002 4794049.5451, 555774.0415000003 4794027.1796, 555773.3735999996 4793994.2563000005, 555773.9342999998 4793974.5403, 555775.4598000003 4793953.9145, 555777.3233000003 4793938.4877, 555780.0362 4793921.2412, 555785.1568999998 4793898.275900001, 555797.0555999996 4793859.833699999, 555803.4544000002 4793839.117900001, 555814.9985999996 4793804.914899999, 555826.0804000003 4793769.234099999)"
