origin_zone_id,dest_zone_id,bus,ion,transit_min_gc
12904,40791,,39.5162,39.5162
40906,12507,,39.51619999999999,39.51619999999999
13011,21668,,39.5063,39.5063
13009,40536,42.5588,39.48650000000001,39.48650000000001
40528,13138,56.372600000000006,39.4766,39.4766
40438,13027,,39.473299999999995,39.473299999999995
40434,12718,,39.46339999999999,39.46339999999999
40906,13009,47.15569999999999,39.45349999999999,39.45349999999999
13136,40791,66.24950000000001,39.4469,39.4469
13002,40514,42.238699999999994,39.44030000000001,39.44030000000001
13138,40908,45.119600000000005,39.437,39.437
40506,13138,56.28350000000001,39.4337,39.4337
40438,12735,,39.42049999999999,39.42049999999999
13002,40508,42.199099999999994,39.40070000000001,39.40070000000001
40435,13008,,39.4007,39.4007
40909,12710,46.82569999999999,39.39739999999999,39.39739999999999
40903,12522,,39.377599999999994,39.377599999999994
12637,40521,,39.374300000000005,39.374300000000005
12715,40535,47.126,39.3545,39.3545
40513,12710,56.6927,39.3446,39.3446
13011,40402,,39.3446,39.3446
40909,12712,44.759899999999995,39.34129999999999,39.34129999999999
12701,40436,,39.3314,39.3314
12904,40513,,39.32150000000001,39.32150000000001
40526,13136,53.828300000000006,39.3215,39.3215
40434,12503,,39.314899999999994,39.314899999999994
21208,13010,45.1493,39.2984,39.2984
12710,40506,42.24199999999999,39.295100000000005,39.295100000000005
40526,13002,54.049400000000006,39.2918,39.2918
40422,13136,64.70510000000002,39.2918,39.2918
40737,12522,,39.28849999999999,39.28849999999999
40903,12718,49.007,39.275299999999994,39.275299999999994
13008,40435,,39.272,39.272
40422,13002,64.92620000000001,39.2621,39.2621
12718,40436,,39.2621,39.2621
13008,40791,41.159600000000005,39.2555,39.2555
40528,12715,53.0198,39.2522,39.2522
12712,40521,,39.2489,39.2489
13010,40744,,39.24230000000001,39.24230000000001
40536,13010,54.7226,39.239,39.239
13002,40511,42.52909999999999,39.2258,39.2258
40731,13008,,39.2258,39.2258
40405,13009,49.363400000000006,39.209300000000006,39.209300000000006
40506,12715,52.9307,39.209300000000006,39.209300000000006
40438,12612,,39.20269999999999,39.20269999999999
13010,21602,,39.18950000000001,39.18950000000001
40737,12718,46.49569999999999,39.18619999999999,39.18619999999999
40438,12645,,39.1796,39.1796
13002,40530,42.32449999999999,39.16310000000001,39.16310000000001
12710,40536,42.22879999999999,39.15650000000001,39.15650000000001
13010,21640,,39.15650000000001,39.15650000000001
12904,40908,,39.1532,39.1532
40438,12727,,39.149899999999995,39.149899999999995
40434,13027,,39.1433,39.1433
40435,12904,,39.14000000000001,39.14000000000001
12628,40436,,39.13340000000001,39.13340000000001
40909,12507,,39.130099999999985,39.130099999999985
40903,12503,,39.1268,39.1268
40511,13138,55.7126,39.113600000000005,39.113600000000005
40514,13138,55.7126,39.113600000000005,39.113600000000005
40737,13002,46.82569999999999,39.093799999999995,39.093799999999995
40434,12735,,39.09049999999999,39.09049999999999
13010,40716,,39.08720000000001,39.08720000000001
40716,12710,50.525000000000006,39.0872,39.0872
13136,40908,65.58950000000002,39.0839,39.0839
40909,13009,46.49569999999999,39.06739999999999,39.06739999999999
40526,12707,53.57090000000001,39.0641,39.0641
21242,13010,44.8193,39.0641,39.0641
13008,40513,46.20199999999999,39.0608,39.0608
12715,40435,,39.0575,39.0575
13010,40718,,39.050900000000006,39.050900000000006
40906,12522,,39.04099999999999,39.04099999999999
40737,12503,,39.037699999999994,39.037699999999994
40422,12707,64.44770000000001,39.0344,39.0344
21208,13136,44.5982,39.0179,39.0179
40513,13009,56.3627,39.0146,39.0146
13011,40434,,39.011300000000006,39.011300000000006
40535,13008,,38.9915,38.9915
12635,40436,,38.971700000000006,38.971700000000006
40731,12904,,38.9651,38.9651
