link_id,from_node_id,to_node_id,directed,length,geometry_id,allowed_uses,lanes,travel_time
523,1378,1379,1,269.46,523,transit,1,2.0
524,1379,1380,1,198.11,524,transit,1,1.0
525,1380,1381,1,178.69,525,transit,1,2.0
526,1,2,1,544.63,526,transit,1,2.0
527,2,3,1,523.11,527,transit,1,2.0
528,3,4,1,555.85,528,transit,1,2.0
529,4,5,1,446.6,529,transit,1,2.0
530,5,6,1,716.46,530,transit,1,3.0
531,6,7,1,207.84,531,transit,1,1.0
532,7,8,1,233.41,532,transit,1,1.0
533,8,9,1,220.15,533,transit,1,2.0
534,9,10,1,283.5,534,transit,1,2.0
535,10,11,1,274.61,535,transit,1,1.0
536,177,178,1,297.83,536,transit,1,1.0
537,178,179,1,151.3,537,transit,1,2.0
538,179,180,1,285.81,538,transit,1,1.0
539,180,181,1,344.17,539,transit,1,1.0
540,181,182,1,222.37,540,transit,1,1.0
541,182,183,1,197.87,541,transit,1,2.0
542,183,184,1,153.68,542,transit,1,1.0
543,184,185,1,411.81,543,transit,1,1.0
544,185,186,1,371.43,544,transit,1,1.0
545,186,187,1,248.25,545,transit,1,1.0
546,187,188,1,218.8,546,transit,1,2.0
547,188,189,1,257.01,547,transit,1,1.0
548,189,190,1,126.31,548,transit,1,2.0
549,190,191,1,233.27,549,transit,1,2.0
550,191,192,1,166.42,550,transit,1,1.0
551,192,193,1,222.56,551,transit,1,2.0
552,193,194,1,257.1,552,transit,1,1.0
553,194,195,1,180.28,553,transit,1,2.0
554,195,196,1,363.79,554,transit,1,2.0
555,1276,1277,1,310.71,555,transit,1,1.0
556,1277,1278,1,334.51,556,transit,1,1.0
557,1278,1279,1,244.13,557,transit,1,1.0
558,1279,1280,1,577.56,558,transit,1,1.0
559,1280,1281,1,166.97,559,transit,1,2.0
560,1281,1282,1,450.37,560,transit,1,1.0
561,1282,1283,1,213.33,561,transit,1,1.0
562,1283,1284,1,300.55,562,transit,1,1.0
563,1284,1285,1,182.66,563,transit,1,2.0
564,1285,1286,1,258.2,564,transit,1,1.0
565,1286,1287,1,285.39,565,transit,1,2.0
566,1287,1288,1,264.24,566,transit,1,1.0
567,1288,1289,1,437.19,567,transit,1,1.0
568,1289,1290,1,228.17,568,transit,1,1.0
569,1290,1291,1,224.72,569,transit,1,2.0
570,1291,1292,1,257.99,570,transit,1,1.0
571,1292,1293,1,435.74,571,transit,1,1.0
572,1293,1294,1,449.64,572,transit,1,1.0
573,1294,1295,1,239.85,573,transit,1,1.0
574,1295,1296,1,375.65,574,transit,1,1.0
575,1296,1297,1,395.83,575,transit,1,2.0
576,1297,1298,1,312.31,576,transit,1,2.0
577,1298,1299,1,176.17,577,transit,1,1.0
578,1299,1300,1,248.32,578,transit,1,1.0
579,1300,1301,1,187.08,579,transit,1,1.0
580,1301,1302,1,198.42,580,transit,1,1.0
581,1302,1303,1,247.3,581,transit,1,1.0
582,1303,1304,1,381.99,582,transit,1,1.0
583,1304,1305,1,539.46,583,transit,1,2.0
584,1305,1306,1,448.53,584,transit,1,1.0
585,1306,1307,1,179.85,585,transit,1,1.0
586,1307,1308,1,374.24,586,transit,1,1.0
587,1308,1309,1,350.8,587,transit,1,2.0
588,1309,1310,1,206.33,588,transit,1,1.0
589,1310,1311,1,1299.39,589,transit,1,3.0
590,1311,1312,1,457.73,590,transit,1,1.0
591,1312,1313,1,496.82,591,transit,1,1.0
592,1313,1314,1,332.0,592,transit,1,1.0
593,1314,1315,1,232.97,593,transit,1,1.0
594,1315,1316,1,285.06,594,transit,1,2.0
595,1316,1317,1,244.76,595,transit,1,1.0
596,1317,1318,1,496.55,596,transit,1,1.0
597,1318,1319,1,196.62,597,transit,1,2.0
598,1319,1320,1,259.5,598,transit,1,1.0
599,1320,1321,1,271.05,599,transit,1,2.0
600,1321,1322,1,353.6,600,transit,1,2.0
601,1224,1225,1,154.04,601,transit,1,1.0
602,1225,1226,1,375.69,602,transit,1,1.0
603,1226,1227,1,363.71,603,transit,1,2.0
604,1227,1228,1,135.17,604,transit,1,1.0
605,1228,1229,1,221.54,605,transit,1,1.0
606,1229,1230,1,282.58,606,transit,1,2.0
607,1230,1231,1,414.49,607,transit,1,1.0
608,1231,1232,1,263.96,608,transit,1,1.0
609,1232,1233,1,282.05,609,transit,1,1.0
610,1233,1234,1,329.27,610,transit,1,1.0
611,1234,1235,1,248.55,611,transit,1,1.0
612,1235,1236,1,301.19,612,transit,1,1.0
613,1236,1237,1,539.68,613,transit,1,1.0
614,1237,1238,1,207.1,614,transit,1,1.0
615,1238,1239,1,339.58,615,transit,1,1.0
616,1239,1240,1,274.89,616,transit,1,1.0
617,1240,1241,1,324.69,617,transit,1,1.0
618,1241,1242,1,409.28,618,transit,1,2.0
619,1242,1243,1,150.07,619,transit,1,2.0
620,1243,1244,1,285.56,620,transit,1,1.0
621,1244,1245,1,260.23,621,transit,1,1.0
622,1245,1246,1,326.21,622,transit,1,1.0
623,1246,1247,1,448.02,623,transit,1,1.0
624,1247,1248,1,156.99,624,transit,1,2.0
625,1248,1249,1,226.92,625,transit,1,1.0
626,1249,1250,1,600.46,626,transit,1,2.0
627,2515,2516,1,230.45,627,transit,1,1.0
628,2516,2517,1,456.46,628,transit,1,1.0
629,2517,2518,1,281.52,629,transit,1,2.0
630,2518,2519,1,333.83,630,transit,1,1.0
631,2519,2520,1,361.31,631,transit,1,1.0
632,2520,2521,1,194.4,632,transit,1,2.0
633,2521,2522,1,552.7,633,transit,1,2.0
634,1552,1553,1,1703.74,634,transit,1,4.42
635,1553,1554,1,1707.39,635,transit,1,5.5
636,1554,1555,1,995.82,636,transit,1,3.75
637,1555,1556,1,794.68,637,transit,1,2.17
638,1556,1557,1,476.4,638,transit,1,2.0
639,1557,1558,1,380.31,639,transit,1,2.25
640,1558,1559,1,679.49,640,transit,1,3.0
641,1559,1560,1,1140.24,641,transit,1,2.75
642,1560,1561,1,582.91,642,transit,1,1.92
643,1561,1562,1,607.47,643,transit,1,2.83
644,1562,1563,1,1059.93,644,transit,1,2.67
645,1563,1564,1,750.3,645,transit,1,1.83
646,1564,1565,1,963.3,646,transit,1,2.0
647,1565,1566,1,1741.44,647,transit,1,3.83
648,1566,1567,1,1101.77,648,transit,1,4.0
649,395,396,1,1732.58,649,transit,1,4.0
650,396,397,1,1539.04,650,transit,1,3.0
651,397,398,1,705.58,651,transit,1,1.0
652,398,399,1,1717.22,652,transit,1,3.0
653,399,400,1,5299.65,653,transit,1,8.0
654,400,401,1,4176.21,654,transit,1,10.0
655,2523,2524,1,347.48,655,transit,1,1.0
656,2524,2525,1,507.74,656,transit,1,2.0
657,2525,2526,1,165.37,657,transit,1,2.0
658,2526,2527,1,279.14,658,transit,1,1.0
659,2527,2528,1,361.54,659,transit,1,1.0
660,2528,2529,1,279.55,660,transit,1,1.0
661,2529,2530,1,174.51,661,transit,1,2.0
662,2530,2531,1,354.91,662,transit,1,1.0
663,2531,2532,1,321.64,663,transit,1,2.0
664,2532,2533,1,341.95,664,transit,1,1.0
665,2533,2534,1,300.95,665,transit,1,1.0
666,2534,2535,1,184.11,666,transit,1,2.0
667,2535,2536,1,276.52,667,transit,1,1.0
668,2536,2537,1,269.3,668,transit,1,2.0
669,2537,2538,1,401.91,669,transit,1,1.0
670,2538,2539,1,235.51,670,transit,1,1.0
671,2539,2540,1,259.81,671,transit,1,2.0
672,2540,2541,1,707.69,672,transit,1,2.0
673,2541,2542,1,212.22,673,transit,1,2.0
674,2542,2543,1,427.84,674,transit,1,1.0
675,2543,2544,1,245.36,675,transit,1,1.0
676,2544,2545,1,473.39,676,transit,1,2.0
677,2545,2546,1,320.38,677,transit,1,1.0
678,2546,2547,1,370.02,678,transit,1,1.0
679,2547,2548,1,207.3,679,transit,1,2.0
680,2548,2549,1,446.48,680,transit,1,1.0
681,2549,2550,1,238.36,681,transit,1,1.0
682,2550,2551,1,163.49,682,transit,1,2.0
683,2551,2552,1,317.42,683,transit,1,1.0
684,2552,2553,1,214.36,684,transit,1,1.0
685,2553,2554,1,247.68,685,transit,1,1.0
686,2554,2555,1,297.95,686,transit,1,1.0
687,2555,2556,1,493.8,687,transit,1,2.0
688,2556,2557,1,334.67,688,transit,1,1.0
689,2557,2558,1,396.52,689,transit,1,1.0
690,2558,2559,1,509.22,690,transit,1,1.0
691,2559,2560,1,426.49,691,transit,1,1.0
692,2560,2561,1,223.37,692,transit,1,2.0
693,2561,2562,1,467.5,693,transit,1,1.0
694,2562,2563,1,293.76,694,transit,1,1.0
695,2563,2564,1,436.15,695,transit,1,1.0
696,2564,2565,1,216.54,696,transit,1,2.0
697,2565,2566,1,373.11,697,transit,1,1.0
698,2566,2567,1,445.83,698,transit,1,1.0
699,2567,2568,1,422.44,699,transit,1,1.0
700,2568,2569,1,308.84,700,transit,1,1.0
701,1078,1079,1,209.11,701,transit,1,1.0
702,1079,1080,1,431.35,702,transit,1,1.0
703,1080,1081,1,275.98,703,transit,1,1.0
704,1081,1082,1,393.31,704,transit,1,1.0
705,1082,1083,1,412.78,705,transit,1,1.0
706,1083,1084,1,415.61,706,transit,1,1.0
707,1084,1085,1,274.73,707,transit,1,1.0
