geometry_id,geometry
254,"LINESTRING (542078.6883684144 4811451.935410573, 541878.6822589777 4811308.974922481)"
255,"LINESTRING (541878.6822589777 4811308.974922481, 541712.6954824851 4811184.889312228)"
256,"LINESTRING (541712.6954824851 4811184.889312228, 541510.6252931261 4810969.623092917)"
257,"LINESTRING (541510.6252931261 4810969.623092917, 541123.1935240352 4811173.819629412)"
258,"LINESTRING (541123.1935240352 4811173.819629412, 540815.9860233067 4811340.771786976)"
259,"LINESTRING (540815.9860233067 4811340.771786976, 540605.7441939281 4811265.519895898)"
260,"LINESTRING (540605.7441939281 4811265.519895898, 540432.42043534 4810972.6237840885)"
261,"LINESTRING (540432.42043534 4810972.6237840885, 540307.6246407053 4810814.835733965)"
262,"LINESTRING (540307.6246407053 4810814.835733965, 540188.682693016 4810664.970348529)"
263,"LINESTRING (540188.682693016 4810664.970348529, 539925.7286000116 4810359.988855156)"
264,"LINESTRING (539925.7286000116 4810359.988855156, 539752.7248804143 4810276.892421284)"
265,"LINESTRING (539752.7248804143 4810276.892421284, 539464.7011581927 4810128.933017343)"
266,"LINESTRING (539464.7011581927 4810128.933017343, 539225.699400674 4809995.931152025)"
267,"LINESTRING (539225.699400674 4809995.931152025, 539028.6657815572 4809866.956753711)"
268,"LINESTRING (539028.6657815572 4809866.956753711, 538784.716430363 4809760.929922221)"
269,"LINESTRING (538784.716430363 4809760.929922221, 538584.6871791991 4810166.931112303)"
270,"LINESTRING (538584.6871791991 4810166.931112303, 538317.6358862713 4809812.124012037)"
271,"LINESTRING (538317.6358862713 4809812.124012037, 538504.6926905937 4809635.936689375)"
272,"LINESTRING (538504.6926905937 4809635.936689375, 538299.6699088019 4809512.935620832)"
273,"LINESTRING (538299.6699088019 4809512.935620832, 538058.6982469074 4809376.965965784)"
274,"LINESTRING (538058.6982469074 4809376.965965784, 537772.7292364578 4809238.975929809)"
275,"LINESTRING (537772.7292364578 4809238.975929809, 537242.7428393625 4809039.895871689)"
276,"LINESTRING (537242.7428393625 4809039.895871689, 536884.3150822034 4808870.336316738)"
277,"LINESTRING (536884.3150822034 4808870.336316738, 536521.4702101018 4808691.109911746)"
278,"LINESTRING (536521.4702101018 4808691.109911746, 536165.9180148296 4808600.121381436)"
279,"LINESTRING (536165.9180148296 4808600.121381436, 535547.7811568072 4809271.527776014)"
280,"LINESTRING (538078.687648051 4816231.995646206, 538123.6723000169 4815526.897416454)"
281,"LINESTRING (538123.6723000169 4815526.897416454, 538241.0752055934 4814844.201307637)"
282,"LINESTRING (538241.0752055934 4814844.201307637, 538244.6296597768 4814417.745284146)"
283,"LINESTRING (538244.6296597768 4814417.745284146, 537885.6123790138 4814236.018335135)"
284,"LINESTRING (537885.6123790138 4814236.018335135, 537222.724675349 4813835.055420655)"
285,"LINESTRING (537222.724675349 4813835.055420655, 537106.6383059209 4813560.871235716)"
286,"LINESTRING (537106.6383059209 4813560.871235716, 536614.2813056979 4813611.263787421)"
287,"LINESTRING (536614.2813056979 4813611.263787421, 535501.442917913 4813058.886914469)"
288,"LINESTRING (535501.442917913 4813058.886914469, 535108.6811236502 4812789.949732024)"
289,"LINESTRING (535108.6811236502 4812789.949732024, 535786.9843772734 4811732.112470338)"
290,"LINESTRING (535786.9843772734 4811732.112470338, 536099.6885086673 4811185.918667463)"
291,"LINESTRING (536099.6885086673 4811185.918667463, 536385.6691035059 4810727.888047014)"
292,"LINESTRING (536385.6691035059 4810727.888047014, 536842.7291841387 4810170.95880295)"
293,"LINESTRING (536842.7291841387 4810170.95880295, 537582.7182028494 4809699.925974661)"
294,"LINESTRING (537582.7182028494 4809699.925974661, 538128.7067024201 4809347.930364129)"
295,"LINESTRING (538128.7067024201 4809347.930364129, 538408.7275169858 4808822.981183171)"
296,"LINESTRING (538408.7275169858 4808822.981183171, 538574.6708041631 4808479.97371195)"
